1471499958593;"nbDocs";"average";"imediate"
1471499959171;30.0;38.02281188964844;51.72414016723633
1471499960385;71.0;35.44683074951172;33.77265167236328
1471499963574;235.0;45.261940002441406;51.426780700683594
1471499967807;577.0;61.220157623291016;80.79376220703125
1471499969353;623.0;56.78607177734375;29.75420379638672
